value,var,ver,pft,param,time
1.4819366,IND,Recruitement,evergreen temperate conifer,Low RDI,14
0.055196177,IND,No recruitement,deciduous temperate broadleaved,Low RDI,14
0.0568532,IND,No recruitement,deciduous temperate broadleaved,high RDI,14
0.28748912,IND,Recruitement,deciduous temperate broadleaved,Low RDI,14
0.54113114,RDI,No recruitement,evergreen temperate conifer,Low RDI,15
0.54078317,RDI,No recruitement,evergreen temperate conifer,high RDI,15
0.539984,RDI,Recruitement,evergreen temperate conifer,Low RDI,15
0.23135845,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,15
0.2319251,RDI,No recruitement,deciduous temperate broadleaved,high RDI,15
0.47569296,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,15
18.462503,BA,No recruitement,evergreen temperate conifer,Low RDI,15
18.461674,BA,No recruitement,evergreen temperate conifer,high RDI,15
18.461674,BA,Recruitement,evergreen temperate conifer,Low RDI,15
5.3246946,BA,No recruitement,deciduous temperate broadleaved,Low RDI,15
5.1341505,BA,No recruitement,deciduous temperate broadleaved,high RDI,15
7.752888,BA,Recruitement,deciduous temperate broadleaved,Low RDI,15
0.039745506,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,15
0.03984243,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,15
0.039851002,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,15
0.11582366,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,15
0.107225515,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,15
0.05861462,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,15
1.4878787,IND,No recruitement,evergreen temperate conifer,Low RDI,15
1.4805815,IND,No recruitement,evergreen temperate conifer,high RDI,15
1.4782095,IND,Recruitement,evergreen temperate conifer,Low RDI,15
0.050505638,IND,No recruitement,deciduous temperate broadleaved,Low RDI,15
0.05679861,IND,No recruitement,deciduous temperate broadleaved,high RDI,15
0.28701586,IND,Recruitement,deciduous temperate broadleaved,Low RDI,15
0.5663214,RDI,No recruitement,evergreen temperate conifer,Low RDI,16
0.5659172,RDI,No recruitement,evergreen temperate conifer,high RDI,16
0.29437804,RDI,Recruitement,evergreen temperate conifer,Low RDI,16
0.25556707,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,16
0.25596467,RDI,No recruitement,deciduous temperate broadleaved,high RDI,16
0.39724028,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,16
19.447077,BA,No recruitement,evergreen temperate conifer,Low RDI,16
19.445469,BA,No recruitement,evergreen temperate conifer,high RDI,16
10.44462,BA,Recruitement,evergreen temperate conifer,Low RDI,16
6.0662565,BA,No recruitement,deciduous temperate broadleaved,Low RDI,16
5.860068,BA,No recruitement,deciduous temperate broadleaved,high RDI,16
6.706442,BA,Recruitement,deciduous temperate broadleaved,Low RDI,16
0.04080409,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,16
0.040909056,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,16
0.04650263,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,16
0.12308834,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,16
0.11463752,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,16
0.06288023,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,16
1.4869673,IND,No recruitement,evergreen temperate conifer,Low RDI,16
1.479224,IND,No recruitement,evergreen temperate conifer,high RDI,16
0.6138349,IND,Recruitement,evergreen temperate conifer,Low RDI,16
0.05094801,IND,No recruitement,deciduous temperate broadleaved,Low RDI,16
0.05674386,IND,No recruitement,deciduous temperate broadleaved,high RDI,16
0.21578693,IND,Recruitement,deciduous temperate broadleaved,Low RDI,16
0.59179723,RDI,No recruitement,evergreen temperate conifer,Low RDI,17
0.5913698,RDI,No recruitement,evergreen temperate conifer,high RDI,17
0.34493497,RDI,Recruitement,evergreen temperate conifer,Low RDI,17
0.22166969,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,17
