value,var,ver,pft,param,time
0.213581,RDI,No recruitement,evergreen temperate conifer,Low RDI,16
0.21301712,RDI,No recruitement,evergreen temperate conifer,high RDI,16
0.47580916,RDI,Recruitement,evergreen temperate conifer,Low RDI,16
0.61441314,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,16
0.57227683,RDI,No recruitement,deciduous temperate broadleaved,high RDI,16
0.5675124,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,16
7.4356503,BA,No recruitement,evergreen temperate conifer,Low RDI,16
7.422272,BA,No recruitement,evergreen temperate conifer,high RDI,16
15.957911,BA,Recruitement,evergreen temperate conifer,Low RDI,16
9.123139,BA,No recruitement,deciduous temperate broadleaved,Low RDI,16
8.41089,BA,No recruitement,deciduous temperate broadleaved,high RDI,16
7.7900457,BA,Recruitement,deciduous temperate broadleaved,Low RDI,16
0.043061443,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,16
0.04320899,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,16
0.03706528,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,16
0.04885173,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,16
0.04787388,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,16
0.041821722,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,16
0.5097338,IND,No recruitement,evergreen temperate conifer,Low RDI,16
0.50534624,IND,No recruitement,evergreen temperate conifer,high RDI,16
1.478726,IND,Recruitement,evergreen temperate conifer,Low RDI,16
0.48655793,IND,No recruitement,deciduous temperate broadleaved,Low RDI,16
0.46707007,IND,No recruitement,deciduous temperate broadleaved,high RDI,16
0.56662,IND,Recruitement,deciduous temperate broadleaved,Low RDI,16
0.25198916,RDI,No recruitement,evergreen temperate conifer,Low RDI,17
0.25105247,RDI,No recruitement,evergreen temperate conifer,high RDI,17
0.4982135,RDI,Recruitement,evergreen temperate conifer,Low RDI,17
0.65470827,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,17
0.6140183,RDI,No recruitement,deciduous temperate broadleaved,high RDI,17
